lastUpdated,title,url
" 11 May 2020, at 21:48",Benevolent dictator for life,https://en.wikipedia.org/wiki/Benevolent_dictator_for_life
" 25 October 2019, at 16:35",Wes McKinney,https://en.wikipedia.org/wiki/Wes_McKinney
" 28 April 2020, at 10:35",Bram Moolenaar,https://en.wikipedia.org/wiki/Bram_Moolenaar
" 13 May 2020, at 03:51",Ruby (programming language),https://en.wikipedia.org/wiki/Ruby_(programming_language)
" 15 April 2020, at 17:43",Yukihiro Matsumoto,https://en.wikipedia.org/wiki/Yukihiro_Matsumoto
" 29 April 2020, at 23:18",Xavier Leroy,https://en.wikipedia.org/wiki/Xavier_Leroy
" 8 May 2020, at 17:33",OCaml,https://en.wikipedia.org/wiki/OCaml
" 3 May 2020, at 11:46",Keras,https://en.wikipedia.org/wiki/Keras
" 28 April 2020, at 10:34",Vim (text editor),https://en.wikipedia.org/wiki/Vim_(text_editor)
" 20 March 2020, at 18:19",Dolibarr,https://en.wikipedia.org/wiki/Dolibarr
" 13 April 2020, at 22:39",Enterprise resource planning,https://en.wikipedia.org/wiki/Enterprise_Resource_Planning
" 13 May 2020, at 09:43",WordPress,https://en.wikipedia.org/wiki/WordPress
" 8 May 2020, at 10:14",Customer relationship management,https://en.wikipedia.org/wiki/Customer_Relationship_Management
" 28 February 2020, at 11:59",Linux.com,https://en.wikipedia.org/wiki/Linux.com
" 7 May 2020, at 19:59",Matt Mullenweg,https://en.wikipedia.org/wiki/Matt_Mullenweg
" 11 May 2020, at 19:03",International Standard Book Number,https://en.wikipedia.org/wiki/ISBN_(identifier)
" 30 April 2020, at 18:05",CNET,https://en.wikipedia.org/wiki/CNET
" 13 May 2020, at 03:59",BASIC,https://en.wikipedia.org/wiki/BASIC
" 12 May 2020, at 18:36",Main Page,https://en.wikipedia.org/wiki/Main_Page
" 26 April 2020, at 11:52",WorldCat,https://en.wikipedia.org/wiki/WorldCat_Identities
" 31 December 2019, at 19:55",A-A-P,https://en.wikipedia.org/wiki/A-A-P
" 17 April 2020, at 00:09",Martin Odersky,https://en.wikipedia.org/wiki/Martin_Odersky
" 3 May 2020, at 06:32",Ada (programming language),https://en.wikipedia.org/wiki/Ada_(programming_language)
" 11 May 2020, at 17:58",IronRuby,https://en.wikipedia.org/wiki/IronRuby
" 6 May 2020, at 18:08",Machine learning,https://en.wikipedia.org/wiki/Machine_learning
" 13 May 2020, at 05:52",NetBeans,https://en.wikipedia.org/wiki/NetBeans
" 12 May 2020, at 15:51",Microsoft,https://en.wikipedia.org/wiki/Microsoft
" 3 May 2020, at 20:32",Text editor,https://en.wikipedia.org/wiki/Text_editor
" 17 January 2020, at 17:44",Comparison of netbook-oriented Linux distributions,https://en.wikipedia.org/wiki/Comparison_of_netbook-oriented_Linux_distributions
" 3 April 2020, at 01:59",Microsoft Cognitive Toolkit,https://en.wikipedia.org/wiki/CNTK
" 12 May 2020, at 11:45",Free software license,https://en.wikipedia.org/wiki/Free_software_license
" 9 May 2020, at 13:41",Comparison of Linux distributions,https://en.wikipedia.org/wiki/Comparison_of_Linux_distributions
" 21 April 2020, at 02:00",List of Linux distributions that run from RAM,https://en.wikipedia.org/wiki/List_of_Linux_distributions_that_run_from_RAM
" 13 May 2020, at 13:18",WordPress.com,https://en.wikipedia.org/wiki/WordPress.com
" 6 May 2020, at 07:50",List of Linux distributions,https://en.wikipedia.org/wiki/List_of_Linux_distributions
" 14 July 2019, at 21:57",University of Nebraska Press,https://en.wikipedia.org/wiki/University_of_Nebraska_Press
" 1 May 2020, at 20:58",Eric A. Meyer,https://en.wikipedia.org/wiki/Eric_A._Meyer
" 25 April 2020, at 13:03",Interlibrary loan,https://en.wikipedia.org/wiki/Interlibrary_loan
" 25 April 2020, at 11:08",Bibliographic database,https://en.wikipedia.org/wiki/Bibliographic_database
" 26 April 2020, at 07:46",Database,https://en.wikipedia.org/wiki/Database
" 25 April 2020, at 09:29",JSTOR,https://en.wikipedia.org/wiki/JSTOR_(identifier)
" 26 April 2020, at 11:52",WorldCat,https://en.wikipedia.org/wiki/WorldCat
" 28 April 2020, at 07:41",Apple II,https://en.wikipedia.org/wiki/Apple_II
" 8 May 2020, at 22:47",Digital object identifier,https://en.wikipedia.org/wiki/Doi_(identifier)
" 4 May 2020, at 23:00",Commodore PET,https://en.wikipedia.org/wiki/Commodore_PET
" 17 April 2020, at 04:17",Bing (search engine),https://en.wikipedia.org/wiki/Bing_(search_engine)
" 12 May 2020, at 20:12",Microsoft Azure,https://en.wikipedia.org/wiki/Microsoft_Azure
" 2 May 2020, at 02:55",pandas (software),https://en.wikipedia.org/wiki/Pandas_(software)
" 3 May 2020, at 19:23",List of Microsoft software,https://en.wikipedia.org/wiki/List_of_Microsoft_software
" 5 May 2020, at 13:04",Apache Subversion,https://en.wikipedia.org/wiki/Subversion_(software)
" 17 April 2020, at 22:07",Mercurial,https://en.wikipedia.org/wiki/Mercurial_(software)
" 30 March 2020, at 14:24",Rational ClearCase,https://en.wikipedia.org/wiki/Clearcase
" 10 May 2020, at 23:13",Microsoft Mobile,https://en.wikipedia.org/wiki/Microsoft_Mobile
" 10 May 2020, at 09:44",Microsoft Surface,https://en.wikipedia.org/wiki/Microsoft_Surface
" 12 March 2020, at 09:17",Pop-up book,https://en.wikipedia.org/wiki/Pop-up_book
" 20 April 2020, at 17:10",Miniature book,https://en.wikipedia.org/wiki/Miniature_book
" 13 May 2020, at 12:59",List of best-selling books,https://en.wikipedia.org/wiki/List_of_best-selling_books
" 11 May 2020, at 06:27",Books in the United States,https://en.wikipedia.org/wiki/Books_in_the_United_States
" 27 April 2020, at 15:36",Outline of books,https://en.wikipedia.org/wiki/Outline_of_books
" 4 March 2020, at 18:01",Fictional book,https://en.wikipedia.org/wiki/Fictional_book
" 23 December 2019, at 13:01",Books and publishing in Pakistan,https://en.wikipedia.org/wiki/Books_and_publishing_in_Pakistan
" 12 May 2020, at 13:56",History of books,https://en.wikipedia.org/wiki/History_of_books
" 12 May 2020, at 13:00",Preservation (library and archival science),https://en.wikipedia.org/wiki/Preservation_(library_and_archival_science)
" 27 April 2020, at 05:08",Books in the Netherlands,https://en.wikipedia.org/wiki/Books_in_the_Netherlands
" 27 April 2020, at 04:52",Books in Spain,https://en.wikipedia.org/wiki/Books_in_Spain
" 27 April 2020, at 03:42",Books in Italy,https://en.wikipedia.org/wiki/Books_in_Italy
" 9 February 2020, at 18:13",Japanese books,https://en.wikipedia.org/wiki/Japanese_books
" 27 April 2020, at 03:19",Books in Germany,https://en.wikipedia.org/wiki/Books_in_Germany
" 28 June 2018, at 14:51",Question-focused dataset,https://en.wikipedia.org/wiki/Question-focused_dataset
" 20 August 2018, at 22:41",,https://en.wikipedia.org/wiki/Journal_of_Database_Management
" 27 April 2020, at 05:12",Books in the United Kingdom,https://en.wikipedia.org/wiki/Books_in_the_United_Kingdom
" 30 March 2020, at 21:37",Books in France,https://en.wikipedia.org/wiki/Books_in_France
" 24 April 2020, at 23:22",vCloud Air,https://en.wikipedia.org/wiki/Virtual_Private_Cloud_OnDemand
" 11 January 2020, at 16:36",Azure Search,https://en.wikipedia.org/wiki/Azure_Search
" 16 December 2019, at 07:14",Microsoft Azure SQL Database,https://en.wikipedia.org/wiki/Microsoft_Azure_SQL_Database
" 20 November 2019, at 23:55",Outline of Microsoft,https://en.wikipedia.org/wiki/Outline_of_Microsoft
" 9 December 2019, at 06:07",Volunia,https://en.wikipedia.org/wiki/Volunia
" 7 May 2020, at 06:42",W3Catalog,https://en.wikipedia.org/wiki/W3Catalog
" 9 December 2019, at 06:07",Teoma,https://en.wikipedia.org/wiki/Teoma
" 9 December 2019, at 06:07",Viewzi,https://en.wikipedia.org/wiki/Viewzi
" 9 December 2019, at 06:09",Yebol,https://en.wikipedia.org/wiki/Yebol
" 2 November 2019, at 15:29",Wikiseek,https://en.wikipedia.org/wiki/Wikiseek
" 14 April 2020, at 16:09",Soso (search engine),https://en.wikipedia.org/wiki/Soso_(search_engine)
" 9 December 2019, at 06:07",Vivisimo,https://en.wikipedia.org/wiki/Vivisimo
" 5 May 2020, at 19:37",Inktomi,https://en.wikipedia.org/wiki/Inktomi
" 17 February 2020, at 03:17",Mugurdy,https://en.wikipedia.org/wiki/Mugurdy
" 24 February 2020, at 18:07",LeapFish,https://en.wikipedia.org/wiki/LeapFish
" 9 December 2019, at 06:04",SearchMe,https://en.wikipedia.org/wiki/SearchMe
